"Country","Facility Name","Owner Name (Company)","Operator Name","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","Total Capacity (MW)","Total Renewable Capacity (MW)","Primary Energy Source","Primary Renewable Energy Source","Coal (MW)","Natural Gas (MW)","Petroleum (MW)","Other Energy Source (MW)","Hydroelectric (MW)","Pumped-Storage Hydroelectric (MW)","Nuclear (MW)","Solar (MW)","Wind (MW)","Geothermal (MW)","Biomass (MW)","Tidal (MW)","Source Agency","Reference Period"
"United States","Cape Canaveral","Florida Power & Light Co","","28.4698","-80.7644","Cocoa","Brevard","Florida","32927","6000 North US Hwy 1","1295","0","Natural Gas","","0","1295","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Capricorn Ridge Wind LLC","Capricorn Ridge Wind LLC","","31.9261","-100.9281","Sterling City","Sterling","Texas","76951","533 Bird Lane, P.O. Box 129","662.5","662.5","Wind","Wind","0","0","0","0","0","0","0","0","662.5","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cardinal","AEP Generation Resources Inc","","40.2522","-80.6486","Brillant","Jefferson","Ohio","43913","State Route 7","1880.4","0","Coal","","1880.4","0","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Caribou 2","Pacific Gas & Electric Co","","40.085997","-121.149373","Belden","Plumas","California","95956","1000 Caribou Road","117.9","117.9","Hydroelectric","Hydroelectric","0","0","0","0","117.9","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carl Bailey","Arkansas Electric Coop Corp","","35.260102","-91.363426","Augusta","Woodruff","Arkansas","72006","535 Woodruff 816","120","0","Natural Gas","","0","120","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carmen Smith","Eugene Water & Electric Board","","44.285977","-122.041352","McKenzie Bridge","Linn","Oregon","97413","59727 McKenzie Highway","114.3","114.3","Hydroelectric","Hydroelectric","0","0","0","0","114.3","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carousel Wind Farm LLC","Carousel Wind Farm, LLC","","39.334","-102.173","Burlington","Kit Carson","Colorado","80807","22103 Country Road 54","150","150","Wind","Wind","0","0","0","0","0","0","0","0","150","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carr Street Generating Station","Carr Street Generating Sta LP","","43.06132","-76.08239","East Syracuse","Onondaga","New York","13057","64 Carr Street","122.6","0","Natural Gas","","0","122.6","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carroll Wind Farm","MidAmerican Energy Co","","42.1622","-94.93","Carroll","Carroll","Iowa","51401","1832 Industrial Park Road","150","150","Wind","Wind","0","0","0","0","0","0","0","0","150","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carson Ice-Gen Project","Sacramento Municipal Util Dist","","38.445681","-121.462387","Sacramento","Sacramento","California","95758","Franklin Blvd","125.5","0","Natural Gas","","0","125.5","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carters","USCE-Mobile District","","34.6121","-84.6733","Chatsworth","Murray","Georgia","30705","975 Powerhouse Road","500","500","Pumped Storage","Hydroelectric","0","0","0","0","250","250","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carty Generating Station","Portland General Electric Co","","45.698611","-119.813056","Boardman","Morrow","Oregon","97818","73396 Tower Road","500","0","Natural Gas","","0","500","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Carville Energy LLC","Carville Energy LLC","","30.2294","-91.065","St Gabriel","Iberville","Louisiana","70776","4322 LA 30","570","0","Natural Gas","","0","570","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cass County","Omaha Public Power District","","40.947913","-95.964026","Plattsmouth","Cass","Nebraska","68507","3520 Mill Road","345","0","Natural Gas","","0","345","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Castaic","Los Angeles Department of Water & Power","","34.587237","-118.656638","Castaic","Los Angeles","California","91384","37700 Templin Hwy","1682","1682","Pumped Storage","Pumped Storage","0","0","0","0","56","1626","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Catalina Solar LLC","EDF Renewable Asset Holdings, Inc.","","34.938261","-118.334492","Rosamond","Kern","California","93560","1232 Catalina rd","110","110","Solar","Solar","0","0","0","0","0","0","0","110","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Catawba","Duke Energy Carolinas, LLC","","35.0514","-81.0694","York","York","South Carolina","29745","4800 Concord Road","2410.2","0","Nuclear","","0","0","0","0","0","0","2410.2","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cayuga","Duke Energy Indiana, LLC","","39.9242","-87.4244","Cayuga","Vermillion","Indiana","47928","PO Box 188 SR 63 North","1184.9","0","Coal","","1062","112.5","10.4","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cayuga Operating Company","Cayuga Operating Company, LLC","","42.6028","-76.6336","Lansing","Tompkins","New York","14882","228 Cayuga Dr","322.5","0","Coal","","322.5","0","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cedar Bayou","NRG Texas Power LLC","","29.75","-94.9256","Baytown","Chambers","Texas","77523","7705 West Bay Road","1530","0","Natural Gas","","0","1530","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cedar Bayou 4","NRG Cedar Bayou Development Company LLC","","29.751645","-94.92312","Eldon","Chambers","Texas","77523","7705 West Bay Road","535.5","0","Natural Gas","","0","535.5","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cedar Bluff Wind, LLC","Cedar Bluff Wind, LLC","","38.697606","-99.729289","Brownwell","Ness","Kansas","67521","28193 State Hwy 147","198.6","198.6","Wind","Wind","0","0","0","0","0","0","0","0","198.6","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cedar Creek II","AE Power Services LLC","","40.9475","-103.783889","New Raymer","Weld","Colorado","80742","67125 CR 132","248.3","248.3","Wind","Wind","0","0","0","0","0","0","0","0","248.3","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cedar Creek Wind","Leeward Asset Management, LLC","","40.8944","-104.0206","Grover","Weld","Colorado","80729","59550 CR 105","300.5","300.5","Wind","Wind","0","0","0","0","0","0","0","0","300.5","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cedar Point Wind","Cedar Point LLC","","39.421787","-103.67814","Limon","Lincoln","Colorado","80828","63095 CR 21","252","252","Wind","Wind","0","0","0","0","0","0","0","0","252","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cedro Hill Wind LLC","NRG Energy Gas & Wind Holdings Inc","","27.576111","-98.905278","Bruni","Webb","Texas","78344","7476 FM 2050","150","150","Wind","Wind","0","0","0","0","0","0","0","0","150","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
